전체 파라미터 마스터 체크리스트

목적
- "반영해야 할 모든 요소"를 가능한 넓게 먼저 나열한다.
- 이후 각 항목에 대해 현재 상태를 표시하면서 관리한다.
- 상태 값은 아래 3가지를 사용한다.
  - DONE: 현재 수집/반영 중
  - PARTIAL: 일부만 반영, 확장 필요
  - TODO: 아직 미반영

사용 방법
- 새 변수를 검토할 때 이 파일에 먼저 추가한다.
- 실제 구현 후 상태를 갱신한다.
- 모델 feature에 직접 들어가는지, 보조 태그/이벤트 테이블로 관리하는지 비고에 남긴다.


[1. 공통 시장 데이터]

| 대분류 | 항목 | 상태 | 비고 |
|---|---|---|---|
| 공통 시장 | KOSPI 일간 수익률 | DONE | 현재 반영 중 |
| 공통 시장 | KOSDAQ 일간 수익률 | DONE | 현재 반영 중 |
| 공통 시장 | KOSDAQ-KOSPI 상대강도 | DONE | 현재 반영 중 |
| 공통 시장 | 시장 5일 수익률 | TODO | 직접 변수로는 없음 |
| 공통 시장 | 시장 20일 수익률 | TODO | 직접 변수로는 없음 |
| 공통 시장 | 시장 변동성 | TODO | 직접 변수로는 없음 |
| 공통 시장 | 시장 거래대금 증가율 | TODO | 직접 변수로는 없음 |
| 공통 시장 | 시장 breadth | TODO | 별도 공통 변수 없음 |
| 공통 시장 | 원달러 환율 | DONE | 현재 반영 중 |
| 공통 시장 | 달러지수 DXY | DONE | 현재 반영 중 |
| 공통 시장 | 한국 3년물 금리 | DONE | 현재 반영 중 |
| 공통 시장 | 한국 10년물 금리 | DONE | 현재 반영 중 |
| 공통 시장 | 한국 장단기 스프레드 | DONE | 현재 반영 중 |
| 공통 시장 | 미국 2년물 금리 | DONE | 현재 반영 중 |
| 공통 시장 | 미국 10년물 금리 | DONE | 현재 반영 중 |
| 공통 시장 | 미국 장단기 스프레드 | DONE | 현재 반영 중 |
| 공통 시장 | 유가 WTI | DONE | 현재 반영 중 |
| 공통 시장 | 유가 Brent | DONE | 현재 반영 중 |
| 공통 시장 | S&P500 수익률 | DONE | 현재 반영 중 |
| 공통 시장 | NASDAQ 수익률 | DONE | 현재 반영 중 |
| 공통 시장 | SOX 수익률 | DONE | 현재 반영 중 |
| 공통 시장 | VIX 레벨 | DONE | 현재 반영 중 |
| 공통 시장 | VIX 변화율 | DONE | 현재 반영 중 |
| 공통 시장 | 미국 경기지표 서프라이즈 | TODO | 미반영 |
| 공통 시장 | 중국 경기지표 | TODO | 미반영 |
| 공통 시장 | 일본 시장 변수 | TODO | 미반영 |
